Market,Price,Daily Change (%)
S&P 500,7551.81,-0.45
NASDAQ 100,28945.06,0.02
ASX 200,8722.3,0.3
Nikkei 225,64209.36,0.45
KOSPI,6766.71,0.73
Hang Seng,24533.46,-0.73
